customerID,Service Line,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod
7010-BRBUU,Advisory,Yes,Yes,72,Two year,No,Credit card (automatic)
9688-YGXVR,Audit,No,No,44,Month-to-month,Yes,Credit card (automatic)
9286-DOJGF,Consulting,Yes,No,38,Month-to-month,Yes,Bank transfer (automatic)
6994-KERXL,EA,No,No,4,Month-to-month,Yes,Electronic check
2181-UAESM,Tax,No,No,2,Month-to-month,No,Electronic check
4312-GVYNH,Advisory,Yes,No,70,Two year,Yes,Bank transfer (automatic)
2495-KZNFB,Audit,No,No,33,Month-to-month,Yes,Electronic check
4367-NHWMM,Consulting,No,No,1,Month-to-month,Yes,Mailed check
8898-KASCD,EA,No,No,39,One year,No,Mailed check
8016-NCFVO,Tax,No,No,55,Month-to-month,Yes,Electronic check
4578-PHJYZ,Advisory,Yes,Yes,52,One year,Yes,Electronic check
2091-MJTFX,Audit,Yes,Yes,30,Month-to-month,No,Credit card (automatic)
2277-DJJDL,Consulting,Yes,No,60,Month-to-month,Yes,Electronic check
2511-MORQY,EA,Yes,Yes,50,One year,No,Bank transfer (automatic)
2731-GJRDG,Tax,No,No,32,One year,Yes,Bank transfer (automatic)
1784-EZDKJ,Advisory,Yes,No,51,One year,Yes,Bank transfer (automatic)
2468-SJFLM,Audit,No,No,1,Month-to-month,Yes,Mailed check
5115-SQAAU,Consulting,Yes,Yes,69,Two year,Yes,Bank transfer (automatic)
8708-XPXHZ,EA,Yes,Yes,42,Month-to-month,Yes,Electronic check
0601-WZHJF,Tax,Yes,No,14,Month-to-month,No,Electronic check
0463-TXOAK,Advisory,No,Yes,52,Two year,No,Credit card (automatic)
4683-WYDOU,Audit,Yes,No,62,Two year,Yes,Bank transfer (automatic)
1166-PQLGG,Consulting,Yes,Yes,72,Two year,No,Bank transfer (automatic)
0963-ZBDRN,EA,No,No,32,Month-to-month,Yes,Electronic check
4871-JTKJF,Tax,No,No,1,Month-to-month,Yes,Electronic check
7173-TETGO,Advisory,Yes,No,72,Two year,No,Bank transfer (automatic)
4193-ORFCL,Audit,No,No,1,Month-to-month,No,Mailed check
2692-PFYTJ,Consulting,No,No,1,Month-to-month,Yes,Mailed check
2369-UAPKZ,EA,No,No,5,Month-to-month,No,Mailed check
5193-QLVZB,Tax,No,No,63,Two year,Yes,Bank transfer (automatic)
0379-DJQHR,Advisory,Yes,Yes,67,Two year,No,Credit card (automatic)
4657-FWVFY,Audit,Yes,Yes,40,Month-to-month,Yes,Credit card (automatic)
0623-EJQEG,Consulting,No,No,65,One year,No,Electronic check
1699-TLDLZ,EA,Yes,Yes,16,Two year,No,Mailed check
4501-UYKBC,Tax,No,No,46,One year,Yes,Credit card (automatic)
8158-WPEZG,Advisory,No,No,11,Month-to-month,Yes,Electronic check
9732-EQMWY,Audit,Yes,No,49,Month-to-month,No,Electronic check
1099-BTKWT,Consulting,Yes,No,68,One year,Yes,Electronic check
4815-TUMEQ,EA,No,No,10,One year,Yes,Mailed check
6407-UTSLV,Tax,No,No,2,Month-to-month,Yes,Bank transfer (automatic)
0018-NYROU,Advisory,Yes,No,5,Month-to-month,Yes,Electronic check
4632-XJMEX,Audit,No,Yes,53,One year,No,Credit card (automatic)
1409-PHXTF,Consulting,Yes,No,54,Two year,Yes,Electronic check
8229-TNIQA,EA,No,No,4,Month-to-month,Yes,Mailed check
0529-ONKER,Tax,No,No,15,Month-to-month,No,Electronic check
3675-YDUPJ,Advisory,No,No,10,Month-to-month,Yes,Mailed check
4484-CGXFK,Audit,No,No,3,Month-to-month,Yes,Electronic check
4443-EMBNA,Consulting,Yes,No,71,Two year,No,Bank transfer (automatic)
4280-DLSHD,EA,Yes,No,8,Month-to-month,Yes,Mailed check
9300-AGZNL,Tax,No,No,1,Month-to-month,Yes,Electronic check
2789-CZANW,Advisory,Yes,Yes,64,Two year,No,Bank transfer (automatic)
8464-EETCQ,Audit,No,No,57,Two year,No,Credit card (automatic)
7216-EWTRS,Consulting,Yes,No,1,Month-to-month,Yes,Electronic check
4468-KAZHE,EA,Yes,No,20,Month-to-month,Yes,Electronic check
8623-ULFNQ,Tax,No,No,26,Month-to-month,Yes,Electronic check
9317-WZPGV,Advisory,No,No,2,Month-to-month,Yes,Bank transfer (automatic)
8947-YRTDV,Audit,Yes,Yes,32,One year,No,Mailed check
1814-DKOLC,Consulting,No,No,5,Month-to-month,No,Mailed check
8071-SBTRN,EA,No,No,70,Two year,Yes,Mailed check
